groupe_vehicule,checkpoint,date,lieu_depart,lieu_arrive,nom_vehicule,duree
PSL,2023-07-20,checkpoint 1,KRIBI,EDEA,LTTR 877 AQ-MERCEDES 1941-PSL,00:46:03
PSL,2023-07-20,checkpoint 1,KRIBI,EDEA,LTTR 879 AQ -MERCEDES 1844-PSL,00:07:44
PSL,2023-07-20,checkpoint 1,KRIBI,EDEA,LTTR 910 AR-ACTROS 1846-PSL,00:11:35
PSL,2023-07-20,checkpoint 1,KRIBI,EDEA,LTTR 913 AR-ACTROS 1941-PSL,00:08:43
PSL,2023-07-20,checkpoint 1,KRIBI,EDEA,LTTR 915 AR-MERCEDES 1942-CIMENCAM(PSL),00:14:13
PSL,2023-07-20,checkpoint 1,KRIBI,EDEA,LTTR 940 AQ-MERCEDES ACTROS-PSL,00:11:37
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 055 AR-MERCEDES 1941-PSL,01:13:43
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 056 AS MERCEDES (PSL),03:02:51
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 057 AR - MERCEDES ACTROS- PSL,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 058 AR-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 061 AS MERCEDES (PSL),00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 300 AO-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 301 AO-MERCEDES 1841-CIMENCAM(PSL),00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 313 AS - SOMAFILS,01:33:31
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 329 AR-MERCEDES-CIMENCAM(PSL),00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 331 AR-MERCEDES 1841-PSL,03:09:55
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 060 AS MERCEDES (PSL),00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 447 AQ-MERCEDES 1841-MEDLOG,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 476 AQ-ACTROS 1841-MEDLOG,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 480 AQ-MERCEDES 1941-CIMENCAM(PSL),00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 481 AQ-MERCEDES 1841-PSL,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 482 AQ-ACTROS 1836-MEDLOG,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 703 AQ-MERCEDES 1941-PSL,04:30:08
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 704 AQ-MERCEDES 1941-PSL,03:02:46
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 816 AS-MERCEDES 3344-PSL,01:49:57
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 877 AQ-MERCEDES 1941-PSL,04:02:54
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 705 AQ-MERCEDES 1941-PSL,00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 879 AQ -MERCEDES 1844-PSL,02:52:27
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 910 AR-ACTROS 1846-PSL,01:02:56
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 913 AR-ACTROS 1941-PSL,04:51:44
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 915 AR-MERCEDES 1942-CIMENCAM(PSL),00:00:00
PSL,2023-07-20,checkpoint 2,EDEA,100003_USINE DE NOMAYOS,LTTR 940 AQ-MERCEDES ACTROS-PSL,03:03:42
